...1,subject_id,Group,timepoint,frequency_band,measure,value
20,RS_016_deltas,0,24H,Beta,TC,-0.07085994488461539
20,RS_016_deltas,0,24H,Delta,DTC,-0.07057970765384615
20,RS_016_deltas,0,24H,Delta,O,-0.04526332242307693
20,RS_016_deltas,0,24H,Delta,S,-0.04759004319230769
20,RS_016_deltas,0,24H,Delta,TC,0.08552948188461543
20,RS_016_deltas,0,24H,Gamma,DTC,-0.3175801334615384
20,RS_016_deltas,0,24H,Gamma,O,-0.01777716180769231
20,RS_016_deltas,0,24H,Gamma,S,0.1247190796923077
20,RS_016_deltas,0,24H,Gamma,TC,-0.10428458853846154
20,RS_016_deltas,0,24H,Theta,DTC,-0.3223068706923077
20,RS_016_deltas,0,24H,Theta,O,0.056443742038461545
20,RS_016_deltas,0,24H,Theta,S,-0.20784032311538464
20,RS_016_deltas,0,24H,Theta,TC,-0.12047144807692309
20,RS_016_deltas,0,24H,Wholeband,DTC,-0.28353664146153845
20,RS_016_deltas,0,24H,Wholeband,O,0.014150051923076912
20,RS_016_deltas,0,24H,Wholeband,S,-0.11977887307692309
20,RS_016_deltas,0,24H,Wholeband,TC,-0.06309601138461539
21,RS_017_deltas,0,24H,Alpha,DTC,-2.178964845
21,RS_017_deltas,0,24H,Alpha,O,-0.48119394
21,RS_017_deltas,0,24H,Alpha,S,-2.80189111
21,RS_017_deltas,0,24H,Alpha,TC,-1.301930044
21,RS_017_deltas,0,24H,Beta,DTC,-1.294329762
21,RS_017_deltas,0,24H,Beta,O,-0.775122181
21,RS_017_deltas,0,24H,Beta,S,-2.673672678
21,RS_017_deltas,0,24H,Beta,TC,-1.335737201
21,RS_017_deltas,0,24H,Delta,DTC,-1.409541642
21,RS_017_deltas,0,24H,Delta,O,-0.195975158
21,RS_017_deltas,0,24H,Delta,S,-1.708150292
21,RS_017_deltas,0,24H,Delta,TC,-0.439787814
21,RS_017_deltas,0,24H,Gamma,DTC,-0.063510782
21,RS_017_deltas,0,24H,Gamma,O,-1.303929305
21,RS_017_deltas,0,24H,Gamma,S,0.027955881
21,RS_017_deltas,0,24H,Gamma,TC,-1.014402935
21,RS_017_deltas,0,24H,Theta,DTC,-3.140975288
21,RS_017_deltas,0,24H,Theta,O,0.278601798
21,RS_017_deltas,0,24H,Theta,S,-3.543712671
21,RS_017_deltas,0,24H,Theta,TC,-1.636770781
21,RS_017_deltas,0,24H,Wholeband,DTC,-0.772618147
21,RS_017_deltas,0,24H,Wholeband,O,-0.23332487
21,RS_017_deltas,0,24H,Wholeband,S,-2.857041187
21,RS_017_deltas,0,24H,Wholeband,TC,-1.409836469
22,RS_019_deltas,0,24H,Alpha,DTC,-2.602678759
22,RS_019_deltas,0,24H,Alpha,O,0.253866578
22,RS_019_deltas,0,24H,Alpha,S,-0.465719332
22,RS_019_deltas,0,24H,Alpha,TC,-0.393464326
22,RS_019_deltas,0,24H,Beta,DTC,-1.226470202
22,RS_019_deltas,0,24H,Beta,O,-0.75068173
22,RS_019_deltas,0,24H,Beta,S,-0.016121538
22,RS_019_deltas,0,24H,Beta,TC,-0.066047319
22,RS_019_deltas,0,24H,Delta,DTC,-1.338011798
22,RS_019_deltas,0,24H,Delta,O,-0.160149646
22,RS_019_deltas,0,24H,Delta,S,-3.177093395
22,RS_019_deltas,0,24H,Delta,TC,-1.402868573
22,RS_019_deltas,0,24H,Gamma,DTC,-1.676469853
22,RS_019_deltas,0,24H,Gamma,O,-0.079112938
22,RS_019_deltas,0,24H,Gamma,S,-2.202496411
22,RS_019_deltas,0,24H,Gamma,TC,-0.026590842
22,RS_019_deltas,0,24H,Theta,DTC,-2.46377932
22,RS_019_deltas,0,24H,Theta,O,0.023148218
22,RS_019_deltas,0,24H,Theta,S,-0.534930669
22,RS_019_deltas,0,24H,Theta,TC,-0.345536216
22,RS_019_deltas,0,24H,Wholeband,DTC,-1.157021995
22,RS_019_deltas,0,24H,Wholeband,O,-0.059660261
22,RS_019_deltas,0,24H,Wholeband,S,-0.188863341
22,RS_019_deltas,0,24H,Wholeband,TC,-0.191384682
23,RS_024_deltas,0,24H,Alpha,DTC,-0.2774019446153846
23,RS_024_deltas,0,24H,Alpha,O,0.03172302876923078
23,RS_024_deltas,0,24H,Alpha,S,-0.1124642402692308
23,RS_024_deltas,0,24H,Alpha,TC,-0.05060289107692309
23,RS_024_deltas,0,24H,Beta,DTC,-0.2212425766153846
23,RS_024_deltas,0,24H,Beta,O,-0.0052496723846153755
23,RS_024_deltas,0,24H,Beta,S,-0.13267642665384619
23,RS_024_deltas,0,24H,Beta,TC,-0.07085994488461539
23,RS_024_deltas,0,24H,Delta,DTC,-0.07057970765384615
23,RS_024_deltas,0,24H,Delta,O,-0.04526332242307693
23,RS_024_deltas,0,24H,Delta,S,-0.04759004319230769
23,RS_024_deltas,0,24H,Delta,TC,0.08552948188461543
23,RS_024_deltas,0,24H,Gamma,DTC,-0.3175801334615384
23,RS_024_deltas,0,24H,Gamma,O,-0.01777716180769231
23,RS_024_deltas,0,24H,Gamma,S,0.1247190796923077
23,RS_024_deltas,0,24H,Gamma,TC,-0.10428458853846154
23,RS_024_deltas,0,24H,Theta,DTC,-0.3223068706923077
23,RS_024_deltas,0,24H,Theta,O,0.056443742038461545
23,RS_024_deltas,0,24H,Theta,S,-0.20784032311538464
23,RS_024_deltas,0,24H,Theta,TC,-0.12047144807692309
23,RS_024_deltas,0,24H,Wholeband,DTC,-0.28353664146153845
23,RS_024_deltas,0,24H,Wholeband,O,0.014150051923076912
23,RS_024_deltas,0,24H,Wholeband,S,-0.11977887307692309
23,RS_024_deltas,0,24H,Wholeband,TC,-0.06309601138461539
24,RS_025_deltas,0,24H,Alpha,DTC,0.357218277
